;CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;CATEG_DOC;ID_DOC;DT_RECEB;LINK_DOC;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA;DT_INI_EXERC;COLUNA_DF;con_ind;tipo_dem;base
26225;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.02.01.02.01;Títulos Mantidos até o Vencimento;0.0;N;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26227;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.02.01.03;Aplicações Financeiras Avaliadas ao Custo Amortizado;0.0;S;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26229;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.02.01.04;Créditos das Operações;1314837.0;S;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26231;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.02.01.04.01;Títulos e créditos a receber;237006.0;N;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26233;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.02.01.04.02;Créditos tributários e previdenciários;38643.0;N;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26235;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.02.01.04.03;Ativo fiscal diferido;386215.0;N;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26237;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.02.01.04.04;Depósitos judiciais e fiscais;652973.0;N;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26239;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.02.01.04.05;Outros créditos a receber;0.0;N;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26241;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.02.01.05;Títulos e Créditos a Receber;0.0;S;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26243;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.02.01.06;Outros Valores e Bens;0.0;S;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26245;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.02.01.07;Empréstimos e Depósitos Compulsórios;0.0;S;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26247;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.02.01.08;Despesas Antecipadas;0.0;S;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26249;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.02.01.09;Despesas de Comercialização Diferidas;5097.0;S;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26251;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.02.01.09.01;Custos de Aquisição Diferidos - Seguros;5097.0;N;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26253;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.02.01.10;Tributos Diferidos;0.0;S;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26255;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.02.01.11;Outros Ativos Não Circulantes;28845.0;S;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26257;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.02.01.11.01;Ativos Não Correntes a Venda;0.0;S;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26259;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.02.01.11.02;Ativos de Operações Descontinuadas;0.0;S;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26261;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.02.01.11.03;Ativos de Retrocessão;28845.0;N;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26263;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.02.02;Investimentos;573055.0;S;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26265;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.02.02.01;Participações Societárias;0.0;S;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26267;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.02.02.01.01;Participações em Coligadas no País;0.0;S;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26269;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.02.02.01.02;Participações em Coligadas no Exterior;0.0;S;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26271;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.02.02.01.05;Participações em Controladas em Conjunto no País;0.0;S;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26273;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.02.02.01.06;Participações em Controladas em Conjunto no Exterior;0.0;S;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26275;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.02.02.01.07;Outros Investimentos;0.0;S;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26277;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.02.02.02;Propriedades para Investimento;573055.0;S;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26279;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.02.02.02.01;Imóveis Destinados a Renda;573001.0;N;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26281;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.02.02.02.02;Outros Investimentos;54.0;N;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26283;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.02.03;Imobilizado;74353.0;S;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26285;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.02.03.01;Imobilizado em Operação;68660.0;S;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26287;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.02.03.01.01;Imóveis;50556.0;N;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26289;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.02.03.01.02;Bens Móveis;21133.0;N;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26291;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.02.03.01.03;Outras Imobilizações;-3029.0;N;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26293;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.02.03.02;Direito de Uso em Arrendamento;0.0;S;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26295;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.02.03.03;Imobilizado em Andamento;5693.0;S;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26297;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.02.04;Intangível;42779.0;S;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
26299;33.376.989/0001-91;2018-12-31;4;IRB - BRASIL RESSEGUROS S.A.;24180;;;;;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2018-12-31;1.02.04.01;Intangíveis;42779.0;S;;;DF Consolidado;Balanço Patrimonial Ativo;dfp
